device,packing,disb,medium,fliq,avg_drift,airflow,solventloss,co2absp,kgdriftpabs,counter,vg
ct,fill_block_n,fc,taurate,5,0.0385,0.33,14,15.1,0.1,1,0.916666667
ct,fill_block_n,sp_3arm,taurate,5,0.0304,0.33,11,11.9,0.1,2,0.916666667
ct,fill_block_n,sp_3arm,taurate,3,0.0285,0.2,6,9.1,0.12,3,0.555555556
ct,fill_block_o,hc,taurate,5,0.0285,0.18,10,12.9,0.16,5,0.5
ct,fill_block_n,sp_3arm,taurate,10,0.0315,0.26,23,16.3,0.19,7,0.722222222
ct,fill_block_o,hc,taurate,10,0.0293,0.18,21,18.5,0.23,8,0.5
ct,fill_block_o,hc,taurate,15,0.0365,0.3,39,10.2,0.47,11,0.833333333
ct,fill_block_o,hc,taurate,40,0.0331,0.35,95,16.8,0.59,13,0.972222222
ct,fill_block_n,hc,taurate,30,0.0286,0.19,62,19.4,0.61,14,0.527777778
ct,fill_block_n,hc,taurate,40,0.0293,0.18,84,22.1,0.77,17,0.5
ct,fill_block_o,hc,taurate,30,0.05,0.3,108,13.1,1,21,0.833333333
ct,fill_block_n,hc,taurate,55,0.0293,0.18,116,22.4,1.04,22,0.5
ct,fill_block_o,hc,taurate,55,0.051,0.3,202,16.5,1.48,29,0.833333333
ct,fill_block_n,sp_3arm,taurate,55,0.038,0.36,150,9.8,1.55,30,1
pc,plastic,distbtr,taurate,10,0.0196,0.27,14,13,0.15,4,1.6985138
pc,curtin_uni,distbtr,taurate,10,0.0216,0.2,16,15.7,0.18,6,1.258158371
pc,ss304,distbtr,taurate,70,0.0115,0.24,58,23,0.38,9,1.509790045
pc,ss304,distbtr,taurate,80,0.013,0.23,75,27.8,0.42,10,1.446882126
pc,curtin_uni,distbtr,caustic,50,0.0192,0.24,69,21.8,0.48,12,1.509790045
pc,plastic,distbtr,taurate,50,0.0182,0.27,66,12.8,0.69,15,1.6985138
pc,curtin_uni,distbtr,caustic,80,0.0216,0.24,124,25.1,0.75,16,1.509790045
pc,curtin_uni,distbtr,caustic,100,0.028,0.33,202,25.9,0.86,18,2.075961312
pc,plastic,distbtr,taurate,80,0.0207,0.34,119,13.5,0.94,19,2.13886923
pc,plastic,distbtr,taurate,70,0.0212,0.27,107,14.7,0.98,20,1.6985138
pc,curtin_uni,distbtr,caustic,120,0.0216,0.24,187,25.1,1.12,23,1.509790045
pc,plastic,distbtr,taurate,120,0.0241,0.32,208,20.7,1.14,24,2.013053393
pc,plastic,distbtr,taurate,100,0.0189,0.27,136,16.1,1.14,25,1.6985138
pc,ss304,distbtr,taurate,100,0.0288,0.24,207,26.2,1.2,26,1.509790045
pc,ss304,distbtr,taurate,120,0.023,0.23,198,24.5,1.28,27,1.446882126
pc,plastic,distbtr,caustic,80,0.0348,0.24,200,22.3,1.36,28,1.509790045
pc,curtin_uni,distbtr,taurate,70,0.0509,0.32,257,17.3,1.68,31,2.013053393
pc,plastic,distbtr,caustic,100,0.051,0.29,367,26.4,1.74,32,1.824329637
pc,curtin_uni,distbtr,taurate,50,0.0491,0.28,177,11.2,2.05,33,1.761421719
pc,curtin_uni,distbtr,taurate,80,0.0459,0.32,264,14.4,2.08,34,2.013053393
pc,curtin_uni,distbtr,taurate,100,0.0374,0.29,270,15.9,2.12,35,1.824329637
pc,curtin_uni,distbtr,taurate,120,0.0525,0.32,454,16.5,3.12,36,2.013053393
rls,none,spiral,taurate,400,0.0164,0.25,473,15.4,4.45,37,0.884642604
